[33mWARN[0m[2024-10-16 16:19:34] not enable search                            
[36mINFO[0m[2024-10-16 16:19:35] [ali_open] token exchange: eyJ0eXAiOiJKV1QiLCJhbGciOiJSUzI1NiJ9.eyJzdWIiOiJkYWVmMGE4ZWU1ZGE0YjIyOTZhOWEzM2Q5MjA2OWQxZCIsImF1ZCI6Ijc2OTE3Y2NjY2Q0NDQxYzM5NDU3YTA0ZjYwODRmYjJmIiwiZXhwIjoxNzMzNDk5NDg4LCJpYXQiOjE3MjU3MjM0ODgsImp0aSI6IjY2ZTI2ZThmNzg3ZjRhODY4NDJjY2M4N2E5YTJhOGMwIn0.Rjsrd-1th817Iwmy80FwjqwDazxVEbgxSdAgRTrIgCsrVdVLp8YUTi8jYFopS2zh8h9ABdhftiLK4bK-44OTUA -> eyJ0eXAiOiJKV1QiLCJhbGciOiJSUzI1NiJ9.eyJzdWIiOiJkYWVmMGE4ZWU1ZGE0YjIyOTZhOWEzM2Q5MjA2OWQxZCIsImF1ZCI6Ijc2OTE3Y2NjY2Q0NDQxYzM5NDU3YTA0ZjYwODRmYjJmIiwiZXhwIjoxNzM2ODQyNzczLCJpYXQiOjE3MjkwNjY3NzMsImp0aSI6IjAxMDYzYTQwN2I3ZDRlYjc4M2Y1ZDRjMmQ4Y2IyN2QzIn0.fqZnL5KKew04qZsKJsuir-US095qhg7LlHaBid_Hj8scd5mewhyqa3s9agAR21sC5UwhcELn46nIKeT7nPn_NA 
[GIN] 2024/10/16 - 16:19:47 | 200 |      53.005µs |       127.0.0.1 | GET      "/"
[GIN] 2024/10/16 - 16:19:48 | 200 |  350.803638ms |       127.0.0.1 | POST     "/api/fs/list"
[GIN] 2024/10/16 - 16:19:48 | 200 |     128.901µs |       127.0.0.1 | GET      "/assets/Folder.d7d4d109.js"
[GIN] 2024/10/16 - 16:19:48 | 200 |      78.151µs |       127.0.0.1 | GET      "/assets/Folder.b511ba9e.css"
[GIN] 2024/10/16 - 16:19:48 | 200 |     114.399µs |       127.0.0.1 | GET      "/assets/icon.5506b212.js"
[GIN] 2024/10/16 - 16:19:48 | 200 |      35.171µs |       127.0.0.1 | GET      "/assets/index.06d7c93a.js"
[GIN] 2024/10/16 - 16:19:48 | 200 |      95.409µs |       127.0.0.1 | GET      "/assets/video_box.ab2aa480.js"
[GIN] 2024/10/16 - 16:19:48 | 200 |      12.946µs |       127.0.0.1 | GET      "/assets/_commonjs-dynamic-modules.30ae7933.js"
[GIN] 2024/10/16 - 16:19:48 | 200 |      21.624µs |       127.0.0.1 | GET      "/assets/Paginator.fa66e96b.js"
[GIN] 2024/10/16 - 16:19:48 | 200 |       61.69µs |       127.0.0.1 | GET      "/assets/List.ade71a75.js"
[GIN] 2024/10/16 - 16:19:48 | 200 |       61.84µs |       127.0.0.1 | GET      "/assets/helper.59c3f375.js"
[GIN] 2024/10/16 - 16:19:48 | 200 |      33.992µs |       127.0.0.1 | GET      "/assets/index.b465926d.js"
[GIN] 2024/10/16 - 16:19:50 | 200 |       62.83µs |       127.0.0.1 | GET      "/assets/index.f2082a25.js"
[GIN] 2024/10/16 - 16:19:50 | 200 |      22.327µs |       127.0.0.1 | GET      "/assets/webauthn-json.browser-ponyfill.1c672167.js"
[GIN] 2024/10/16 - 16:19:55 | 200 |     128.271µs |       127.0.0.1 | GET      "/assets/entry.5575dc83.js"
[GIN] 2024/10/16 - 16:20:03 | 200 |    1.163115ms |       127.0.0.1 | POST     "/api/auth/login/hash"
[GIN] 2024/10/16 - 16:20:03 | 200 |      125.11µs |       127.0.0.1 | GET      "/api/me"
[GIN] 2024/10/16 - 16:20:03 | 200 |      16.143µs |       127.0.0.1 | GET      "/api/public/offline_download_tools"
[GIN] 2024/10/16 - 16:20:03 | 200 |      162.52µs |       127.0.0.1 | POST     "/api/fs/list"
[GIN] 2024/10/16 - 16:20:05 | 200 |     376.131µs |       127.0.0.1 | POST     "/api/fs/list"
[GIN] 2024/10/16 - 16:20:08 | 200 |  162.904225ms |       127.0.0.1 | POST     "/api/fs/list"
[GIN] 2024/10/16 - 16:20:26 | 200 |   237.36343ms |       127.0.0.1 | POST     "/api/fs/rename"
[GIN] 2024/10/16 - 16:20:26 | 200 |     223.678µs |       127.0.0.1 | POST     "/api/fs/list"
[GIN] 2024/10/16 - 16:20:34 | 200 |  420.459363ms |       127.0.0.1 | POST     "/api/fs/rename"
[GIN] 2024/10/16 - 16:20:34 | 200 |     162.336µs |       127.0.0.1 | POST     "/api/fs/list"
[GIN] 2024/10/16 - 16:21:28 | 302 |  448.172433ms |       127.0.0.1 | GET      "/d/0/Skywings/Alien.Romulus.mkv?sign=hi8ptvOEyW9iPotXxDe7pYO8aATPEHZXXwjwKELEDQ0=:0"
[GIN] 2024/10/16 - 16:21:29 | 302 |  235.862578ms |       127.0.0.1 | GET      "/d/0/Skywings/Alien.Romulus.mkv?sign=hi8ptvOEyW9iPotXxDe7pYO8aATPEHZXXwjwKELEDQ0=:0"
[GIN] 2024/10/16 - 16:21:30 | 302 |  245.380801ms |       127.0.0.1 | GET      "/d/0/Skywings/Alien.Romulus.mkv?sign=hi8ptvOEyW9iPotXxDe7pYO8aATPEHZXXwjwKELEDQ0=:0"
[GIN] 2024/10/16 - 16:22:38 | 302 |  286.547409ms |       127.0.0.1 | GET      "/d/0/Skywings/Alien.Romulus.srt?sign=P281C6sMq-pqgZXZRzZQXHvHzfd2Oyqoos0rIbdXMg4=:0"
[GIN] 2024/10/16 - 16:23:00 | 302 |  267.877805ms |       127.0.0.1 | GET      "/d/0/Skywings/Alien.Romulus.mkv?sign=hi8ptvOEyW9iPotXxDe7pYO8aATPEHZXXwjwKELEDQ0=:0"
[GIN] 2024/10/16 - 16:23:01 | 302 |   247.22724ms |       127.0.0.1 | GET      "/d/0/Skywings/Alien.Romulus.mkv?sign=hi8ptvOEyW9iPotXxDe7pYO8aATPEHZXXwjwKELEDQ0=:0"
[GIN] 2024/10/16 - 16:23:02 | 302 |  253.719336ms |       127.0.0.1 | GET      "/d/0/Skywings/Alien.Romulus.mkv?sign=hi8ptvOEyW9iPotXxDe7pYO8aATPEHZXXwjwKELEDQ0=:0"
[GIN] 2024/10/16 - 16:23:03 | 302 |  393.590873ms |       127.0.0.1 | GET      "/d/0/Skywings/Alien.Romulus.mkv?sign=hi8ptvOEyW9iPotXxDe7pYO8aATPEHZXXwjwKELEDQ0=:0"
[GIN] 2024/10/16 - 17:26:16 | 302 |  1.950010906s |       127.0.0.1 | GET      "/d/0/Skywings/Alien.Romulus.mkv?sign=hi8ptvOEyW9iPotXxDe7pYO8aATPEHZXXwjwKELEDQ0=:0"
[GIN] 2024/10/16 - 17:57:21 | 302 |  722.801789ms |       127.0.0.1 | GET      "/d/0/Skywings/Alien.Romulus.mkv?sign=hi8ptvOEyW9iPotXxDe7pYO8aATPEHZXXwjwKELEDQ0=:0"
[GIN] 2024/10/16 - 17:57:24 | 302 |  585.999802ms |       127.0.0.1 | GET      "/d/0/Skywings/Alien.Romulus.mkv?sign=hi8ptvOEyW9iPotXxDe7pYO8aATPEHZXXwjwKELEDQ0=:0"
[33mWARN[0m[2024-10-16 18:08:23] not enable search                            
[GIN] 2024/10/16 - 18:08:26 | 200 |      64.629µs |       127.0.0.1 | GET      "/"
[GIN] 2024/10/16 - 18:08:26 | 200 |     500.632µs |       127.0.0.1 | GET      "/assets/index.cd8652af.js"
[GIN] 2024/10/16 - 18:08:26 | 200 |        77.1µs |       127.0.0.1 | GET      "/assets/index.c4c82a28.css"
[GIN] 2024/10/16 - 18:08:26 | 200 |     365.713µs |       127.0.0.1 | GET      "/assets/entry.5575dc83.js"
[GIN] 2024/10/16 - 18:08:26 | 200 |     542.605µs |       127.0.0.1 | GET      "/api/public/settings"
[GIN] 2024/10/16 - 18:08:26 | 200 |     264.192µs |       127.0.0.1 | GET      "/api/me"
[GIN] 2024/10/16 - 18:08:26 | 200 |      59.055µs |       127.0.0.1 | GET      "/assets/index.f2082a25.js"
[GIN] 2024/10/16 - 18:08:26 | 200 |        27.2µs |       127.0.0.1 | GET      "/assets/useTitle.18d1e7a9.js"
[GIN] 2024/10/16 - 18:08:26 | 200 |      41.885µs |       127.0.0.1 | GET      "/assets/webauthn-json.browser-ponyfill.1c672167.js"
[GIN] 2024/10/16 - 18:08:28 | 200 |     449.916µs |       127.0.0.1 | POST     "/api/auth/login/hash"
[GIN] 2024/10/16 - 18:08:28 | 200 |     176.078µs |       127.0.0.1 | GET      "/api/me"
[GIN] 2024/10/16 - 18:08:28 | 200 |       99.02µs |       127.0.0.1 | GET      "/assets/Layout.7cd30458.js"
[GIN] 2024/10/16 - 18:08:28 | 200 |      49.686µs |       127.0.0.1 | GET      "/assets/index.19b6c588.js"
[GIN] 2024/10/16 - 18:08:28 | 200 |      44.665µs |       127.0.0.1 | GET      "/assets/FolderTree.1d328939.js"
[GIN] 2024/10/16 - 18:08:28 | 200 |      40.251µs |       127.0.0.1 | GET      "/assets/index.b6c257bb.js"
[GIN] 2024/10/16 - 18:08:28 | 200 |      30.952µs |       127.0.0.1 | GET      "/api/public/offline_download_tools"
[GIN] 2024/10/16 - 18:08:28 | 200 |     670.251µs |       127.0.0.1 | POST     "/api/fs/get"
[GIN] 2024/10/16 - 18:08:28 | 200 |     983.499µs |       127.0.0.1 | POST     "/api/fs/list"
[GIN] 2024/10/16 - 18:08:28 | 200 |      144.02µs |       127.0.0.1 | GET      "/assets/Folder.d7d4d109.js"
[GIN] 2024/10/16 - 18:08:28 | 200 |        84.7µs |       127.0.0.1 | GET      "/assets/Folder.b511ba9e.css"
[GIN] 2024/10/16 - 18:08:28 | 200 |     158.547µs |       127.0.0.1 | GET      "/assets/icon.5506b212.js"
[GIN] 2024/10/16 - 18:08:28 | 200 |      66.926µs |       127.0.0.1 | GET      "/assets/index.06d7c93a.js"
[GIN] 2024/10/16 - 18:08:28 | 200 |     220.394µs |       127.0.0.1 | GET      "/assets/video_box.ab2aa480.js"
[GIN] 2024/10/16 - 18:08:28 | 200 |      37.769µs |       127.0.0.1 | GET      "/assets/_commonjs-dynamic-modules.30ae7933.js"
[GIN] 2024/10/16 - 18:08:28 | 200 |      26.482µs |       127.0.0.1 | GET      "/assets/Paginator.fa66e96b.js"
[GIN] 2024/10/16 - 18:08:28 | 200 |      66.915µs |       127.0.0.1 | GET      "/assets/List.ade71a75.js"
[GIN] 2024/10/16 - 18:08:28 | 200 |      42.879µs |       127.0.0.1 | GET      "/assets/helper.59c3f375.js"
[GIN] 2024/10/16 - 18:08:28 | 200 |      24.613µs |       127.0.0.1 | GET      "/assets/index.b465926d.js"
[GIN] 2024/10/16 - 18:08:31 | 200 |     303.474µs |       127.0.0.1 | POST     "/api/fs/list"
[GIN] 2024/10/16 - 18:08:32 | 200 |  217.134778ms |       127.0.0.1 | POST     "/api/fs/list"
[GIN] 2024/10/16 - 18:08:48 | 200 |  469.119748ms |       127.0.0.1 | POST     "/api/fs/rename"
[GIN] 2024/10/16 - 18:08:48 | 200 |     224.916µs |       127.0.0.1 | POST     "/api/fs/list"
[GIN] 2024/10/16 - 18:09:04 | 302 |  461.707849ms |       127.0.0.1 | GET      "/d/0/Skywings/The.Substance.mkv?sign=S7GjQGM7_6EWVzuQfaAwdKykPZkiZOqUeK6rhyBUWBQ=:0"
[GIN] 2024/10/16 - 18:09:05 | 302 |  282.331996ms |       127.0.0.1 | GET      "/d/0/Skywings/The.Substance.mkv?sign=S7GjQGM7_6EWVzuQfaAwdKykPZkiZOqUeK6rhyBUWBQ=:0"
[GIN] 2024/10/16 - 18:09:05 | 302 |  299.411854ms |       127.0.0.1 | GET      "/d/0/Skywings/The.Substance.mkv?sign=S7GjQGM7_6EWVzuQfaAwdKykPZkiZOqUeK6rhyBUWBQ=:0"
[33mWARN[0m[2024-10-16 23:12:19] not enable search                            
[36mINFO[0m[2024-10-16 23:12:20] [ali_open] token exchange: eyJ0eXAiOiJKV1QiLCJhbGciOiJSUzI1NiJ9.eyJzdWIiOiJkYWVmMGE4ZWU1ZGE0YjIyOTZhOWEzM2Q5MjA2OWQxZCIsImF1ZCI6Ijc2OTE3Y2NjY2Q0NDQxYzM5NDU3YTA0ZjYwODRmYjJmIiwiZXhwIjoxNzM2ODQyNzczLCJpYXQiOjE3MjkwNjY3NzMsImp0aSI6IjAxMDYzYTQwN2I3ZDRlYjc4M2Y1ZDRjMmQ4Y2IyN2QzIn0.fqZnL5KKew04qZsKJsuir-US095qhg7LlHaBid_Hj8scd5mewhyqa3s9agAR21sC5UwhcELn46nIKeT7nPn_NA -> eyJ0eXAiOiJKV1QiLCJhbGciOiJSUzI1NiJ9.eyJzdWIiOiJkYWVmMGE4ZWU1ZGE0YjIyOTZhOWEzM2Q5MjA2OWQxZCIsImF1ZCI6Ijc2OTE3Y2NjY2Q0NDQxYzM5NDU3YTA0ZjYwODRmYjJmIiwiZXhwIjoxNzM2ODY3NTM3LCJpYXQiOjE3MjkwOTE1MzcsImp0aSI6Ijc5NDJiZTMxZDBlODQ0OGQ5NmRiZWVmZjI5ZjUwMDc2In0.asXNoWJ09-pTOPR-OgtraU-apNJvQquTt9YV7jC-u5Bp_N_N3gqj4Yiy32D2LgYeEfwIsPyItBiEo1_EEImO4g 
[GIN] 2024/10/16 - 23:12:26 | 302 |  669.744806ms |       127.0.0.1 | GET      "/d/0/Skywings/The.Substance.mkv?sign=S7GjQGM7_6EWVzuQfaAwdKykPZkiZOqUeK6rhyBUWBQ=:0"
[GIN] 2024/10/16 - 23:12:27 | 302 |  306.107434ms |       127.0.0.1 | GET      "/d/0/Skywings/The.Substance.mkv?sign=S7GjQGM7_6EWVzuQfaAwdKykPZkiZOqUeK6rhyBUWBQ=:0"
[GIN] 2024/10/16 - 23:12:28 | 302 |  300.417194ms |       127.0.0.1 | GET      "/d/0/Skywings/The.Substance.mkv?sign=S7GjQGM7_6EWVzuQfaAwdKykPZkiZOqUeK6rhyBUWBQ=:0"
[GIN] 2024/10/16 - 23:12:28 | 302 |  298.226135ms |       127.0.0.1 | GET      "/d/0/Skywings/The.Substance.mkv?sign=S7GjQGM7_6EWVzuQfaAwdKykPZkiZOqUeK6rhyBUWBQ=:0"
